ID,SMILES
1,O[C@H](C)[C@@H]1NC(=O)[C@@H](NC(c2ccc(-c3ccc(-c4ccc(OCCCCC)cc4)cc3)cc2)=O)C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@@H]([C@@H](O)c2ccc(O)cc2)O)NC(=O)[C@@H]2C[C@@H](O)CN2C1=O
1,O=C1N[C@@H]([C@@H](C)O)C(=O)N2C[C@H](C)[C@H](O)[C@H]2C(=O)N[C@H](O)[C@H](O)C[C@H](NC(=O)c2ccc(-c3ccc(-c4ccc(OCCCCC)cc4)cc3)cc2)C(=O)N[C@@H]([C@H](O)C)C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@H]1[C@H](O)[C@@H](O)c1ccc(O)cc1
1,c1cc(OCCCCC)ccc1-c1ccc(-c2ccc(C(=O)N[C@@H]3C(=O)N[C@@H]([C@@H](C)O)C(=O)N4[C@H](C(=O)N[C@@H]([C@H](O)[C@H](c5ccc(O)cc5)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N5C[C@H](C)[C@H](O)[C@H]5C(=O)N[C@H](O)[C@H](O)C3)C[C@@H](O)C4)cc2)cc1
1,C1(=O)[C@H]2N(C[C@H](O)C2)C(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H](NC(=O)c2ccc(-c3ccc(-c4ccc(OCCCCC)cc4)cc3)cc2)C[C@@H](O)[C@@H](O)NC(=O)[C@H]2N(C(=O)[C@H]([C@H](O)C)NC(=O)[C@H]([C@@H]([C@H](c3ccc(O)cc3)O)O)N1)C[C@H](C)[C@@H]2O
1,O=C1[C@H]2N(C(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H](NC(=O)c3ccc(-c4ccc(-c5ccc(OCCCCC)cc5)cc4)cc3)C[C@@H](O)[C@@H](O)NC(=O)[C@@H]3[C@@H](O)[C@@H](C)CN3C(=O)[C@H]([C@H](O)C)NC(=O)[C@H]([C@H](O)[C@@H](O)c3ccc(O)cc3)N1)C[C@H](O)C2
1,[C@H]1([C@H](O)C)C(=O)N2[C@@H](C[C@@H](O)C2)C(=O)N[C@@H]([C@@H]([C@H](c2ccc(O)cc2)O)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N2[C@@H]([C@@H](O)[C@@H](C)C2)C(=O)N[C@H](O)[C@H](O)C[C@H](NC(c2ccc(-c3ccc(-c4ccc(OCCCCC)cc4)cc3)cc2)=O)C(=O)N1
1,N1[C@H](O)[C@H](O)C[C@H](NC(c2ccc(-c3ccc(-c4ccc(OCCCCC)cc4)cc3)cc2)=O)C(=O)N[C@@H]([C@H](O)C)C(=O)N2[C@H](C(=O)N[C@@H]([C@@H]([C@H](c3ccc(O)cc3)O)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N3[C@@H]([C@@H](O)[C@@H](C)C3)C1=O)C[C@@H](O)C2
1,c1c(-c2ccc(C(=O)N[C@@H]3C(=O)N[C@@H]([C@H](O)C)C(=O)N4[C@H](C(=O)N[C@@H]([C@H](O)[C@H](c5ccc(O)cc5)O)C(=O)N[C@@H]([C@H](O)C)C(=O)N5C[C@H](C)[C@H](O)[C@H]5C(=O)N[C@H](O)[C@H](O)C3)C[C@@H](O)C4)cc2)ccc(-c2ccc(OCCCCC)cc2)c1
1,O[C@@H]([C@H]1C(=O)N2C[C@H](C)[C@H](O)[C@H]2C(=O)N[C@H](O)[C@H](O)C[C@H](NC(=O)c2ccc(-c3ccc(-c4ccc(OCCCCC)cc4)cc3)cc2)C(=O)N[C@@H]([C@H](O)C)C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H]([C@@H]([C@@H](O)c2ccc(O)cc2)O)C(=O)N1)C
1,C(c1ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)cc1)(N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@@H]([C@H](c2ccc(O)cc2)O)O)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@H](O)C)NC1=O)=O
1,N1[C@H](O)[C@H](O)C[C@H](NC(c2ccc(-c3ccc(-c4ccc(OCCCCC)cc4)cc3)cc2)=O)C(=O)N[C@@H]([C@H](O)C)C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H]([C@@H]([C@H](c2ccc(O)cc2)O)O)C(=O)N[C@@H]([C@H](O)C)C(=O)N2[C@@H]([C@@H](O)[C@@H](C)C2)C1=O
1,[C@@H](O)(C)[C@H]1C(=O)N2[C@@H]([C@@H](O)[C@@H](C)C2)C(=O)N[C@H](O)[C@H](O)C[C@H](NC(=O)c2ccc(-c3ccc(-c4ccc(OCCCCC)cc4)cc3)cc2)C(=O)N[C@@H]([C@@H](C)O)C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H]([C@H](O)[C@H](c2ccc(O)cc2)O)C(=O)N1
1,c1cc(OCCCCC)ccc1-c1ccc(-c2ccc(C(=O)N[C@@H]3C(=O)N[C@@H]([C@@H](C)O)C(=O)N4C[C@H](O)C[C@H]4C(=O)N[C@@H]([C@@H]([C@H](c4ccc(O)cc4)O)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N4C[C@H](C)[C@H](O)[C@H]4C(=O)N[C@H](O)[C@H](O)C3)cc2)cc1
1,c1(-c2ccc(OCCCCC)cc2)ccc(-c2ccc(C(=O)N[C@H]3C[C@@H](O)[C@@H](O)NC(=O)[C@@H]4[C@@H](O)[C@@H](C)CN4C(=O)[C@H]([C@H](O)C)NC(=O)[C@H]([C@@H]([C@@H](O)c4ccc(O)cc4)O)NC(=O)[C@@H]4C[C@@H](O)CN4C(=O)[C@H]([C@@H](C)O)NC3=O)cc2)cc1
